city_ascii,lat,lng,country,iso3,population
Laurel Hill,38.7026,-77.2422,United States,USA,8178.0
Tillamook,45.4562,-123.8331,United States,USA,8176.0
Country Club Estates,31.2113,-81.4622,United States,USA,8176.0
Castle Shannon,40.3665,-80.0194,United States,USA,8173.0
Applewood,39.7524,-105.1604,United States,USA,8173.0
Bellevue,41.2743,-82.8395,United States,USA,8171.0
Burton,32.4233,-80.7454,United States,USA,8169.0
Nolensville,35.9572,-86.672,United States,USA,8169.0
Airway Heights,47.6459,-117.5792,United States,USA,8166.0
Pingree Grove,42.0857,-88.4362,United States,USA,8165.0
Crete,41.4399,-87.6231,United States,USA,8165.0
Jennings Lodge,45.3926,-122.6153,United States,USA,8164.0
Bridge City,30.0297,-93.8406,United States,USA,8162.0
Sangaree,33.0328,-80.1253,United States,USA,8161.0
Alliance,42.1025,-102.8766,United States,USA,8158.0
Chestnut Ridge,41.0829,-74.0551,United States,USA,8156.0
Lugoff,34.2216,-80.6849,United States,USA,8152.0
Black Mountain,35.6142,-82.3275,United States,USA,8150.0
Menominee,45.122,-87.6234,United States,USA,8148.0
Trinidad,37.175,-104.4908,United States,USA,8148.0
Niagara,43.1154,-78.981,United States,USA,8148.0
Brooksville,28.5405,-82.3903,United States,USA,8147.0
Millis,42.1693,-71.3626,United States,USA,8144.0
West Haven-Sylvan,45.5164,-122.7654,United States,USA,8142.0
West Vero Corridor,27.6378,-80.4855,United States,USA,8135.0
Roanoke,33.0148,-97.2268,United States,USA,8135.0
Pleasant Hills,40.3298,-79.9596,United States,USA,8132.0
Omak,48.4228,-119.5159,United States,USA,8130.0
Village Green-Green Ridge,39.8638,-75.4256,United States,USA,8124.0
St. Rose,29.9649,-90.3088,United States,USA,8123.0
Dalhart,36.0579,-102.5123,United States,USA,8121.0
Island Lake,42.2784,-88.1999,United States,USA,8116.0
Almirante,9.3,-82.4,Panama,PAN,8114.0
Oak Grove,39.0073,-94.1278,United States,USA,8112.0
Monona,43.054,-89.3334,United States,USA,8104.0
North Weeki Wachee,28.5591,-82.5537,United States,USA,8104.0
Westphalia,38.8385,-76.8232,United States,USA,8102.0
Ahuimanu,21.4379,-157.8404,United States,USA,8085.0
Hollymead,38.1266,-78.4386,United States,USA,8084.0
Brazil,39.5232,-87.1243,United States,USA,8078.0
Oak Brook,41.8372,-87.9512,United States,USA,8077.0
Montrose,37.52,-77.3772,United States,USA,8074.0
Rabaul,-4.2055,152.1434,Papua New Guinea,PNG,8074.0
Gilberts,42.1096,-88.3716,United States,USA,8073.0
Puerto Aysen,-45.3999,-72.7,Chile,CHL,8067.0
